Date,Chart,Rep,Row,timestamp,Completed (hrs),Completed (perc),Completed (st),Pattern (hrs),Pattern (st),Remaining (hrs),Remaining (perc),Remaining (st),St/Min
2022-03-29,2,3,4,2022-03-30 20:52:19.902269,3.0,15.63,4068.0,21.0,26035.0,18.0,84.37,21967.0,20.0
2022-03-30,2,3,9,2022-03-30 20:53:17.742191,4.0,18.76,4885.0,21.0,26035.0,17.0,81.24,21150.0,20.0
2022-03-30,2,3,12,2022-03-30 22:03:34.636235,4.0,20.79,5412.0,21.0,26035.0,17.0,79.21,20623.0,20.0
2022-04-04,2,3,16,2022-04-04 17:10:18.350777,4.0,22.91,5965.0,21.0,26035.0,16.0,77.09,20070.0,20.0
2022-04-14,4,1,3,2022-04-14 19:16:30.519731,8.0,39.73,10345.0,21.0,26035.0,13.0,60.27,15690.0,20.0
2022-04-14,4,1,5,2022-04-14 20:16:12.960973,9.0,41.67,10849.0,21.0,26035.0,12.0,58.33,15186.0,20.0
2022-04-15,5,1,1,2022-04-15 19:54:43.727505,9.0,45.68,11893.0,21.0,26035.0,11.0,54.32,14142.0,20.0
2022-04-16,5,1,3,2022-04-16 22:47:21.113032,10.0,47.75,12433.0,21.0,26035.0,11.0,52.25,13602.0,20.0
2022-04-16,5,1,4,2022-04-16 23:14:13.984821,15.0,48.81,12708.0,30.0,26035.0,15.0,51.19,13327.0,14.0
2022-04-18,5,1,8,2022-04-18 22:37:00.741577,16.0,53.15,13838.0,30.0,26035.0,14.0,46.85,12197.0,14.0
2022-04-19,5,1,9,2022-04-19 11:13:49.355851,16.0,54.27,14129.0,30.0,26035.0,14.0,45.73,11906.0,14.0
2022-04-19,5,1,10,2022-04-19 20:36:02.013666,17.0,55.41,14426.0,30.0,26035.0,13.0,44.59,11609.0,14.0
2022-04-20,6,1,2,2022-04-20 17:52:05.961344,18.0,60.08,15642.0,30.0,26035.0,12.0,39.92,10393.0,14.0
2022-04-20,6,1,6,2022-04-20 22:17:27.795018,20.0,64.94,16906.0,30.0,26035.0,10.0,35.06,9129.0,14.0
2022-04-20,6,1,6,2022-04-20 22:47:25.164237,20.0,64.04,17096.0,31.0,26695.0,11.0,35.96,9599.0,14.0
2022-04-20,6,1,6,2022-04-20 22:50:37.706707,20.0,64.04,17096.0,31.0,26695.0,11.0,35.96,9599.0,14.0
2022-04-22,6,1,10,2022-04-22 20:10:07.929880,21.0,67.82,18105.0,31.0,26695.0,10.0,32.18,8590.0,14.0
